,       0       ,       r2      ,       r2      ,               ,               ,       r2      ,               ,               ,               ,               ,       r2      ,               ,               ,       r2      ,               ,               ,       r2      ,               ,               ,               ,               ,               ,       r2      ,               ,               ,       r2      ,       r2      ,               ,               ,       1       ,       2       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       1       ,       s3      ,       s4      ,               ,               ,               ,               ,               ,               ,               ,       s7      ,               ,               ,      s10      ,               ,               ,      s11      ,               ,               ,               ,               ,               ,      s15      ,               ,               ,      s17      ,       r1      ,       8       ,       9       ,               ,               ,               ,               ,       5       ,       12      ,               ,               ,       13      ,               ,       14      ,               ,               ,       16      ,               ,               ,               ,       6       , 
,       2       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,      acc      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       3       ,               ,               ,               ,               ,               ,      s18      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       4       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,      s19      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       5       ,      r23      ,      r23      ,               ,               ,      r23      ,               ,               ,               ,               ,      r23      ,               ,               ,      r23      ,               ,               ,      r23      ,               ,               ,               ,               ,               ,      r23      ,               ,               ,      r23      ,      r23      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       6       ,       r3      ,       r3      ,               ,               ,       r3      ,               ,               ,               ,               ,       r3      ,               ,               ,       r3      ,               ,               ,       r3      ,               ,               ,               ,               ,               ,       r3      ,               ,               ,       r3      ,       r3      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       7       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,      s20      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       8       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,      s21      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,       9       ,       r4      ,       r4      ,               ,               ,       r4      ,               ,               ,               ,               ,       r4      ,               ,               ,       r4      ,               ,               ,       r4      ,               ,               ,               ,               ,               ,       r4      ,               ,               ,       r4      ,       r4      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
,      10       ,               ,               ,               ,               ,               ,      s22      ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               , 
